date,casosNovos,casosAcumulados,localidade,obitosNovos,obitosAcumulados
2020-04-08,0,1,DSTQ,0.0,0.0
2020-04-08,4,42,DSBV,0.0,0.0
2020-04-08,41,332,Curitiba,0.0,6.0
2020-04-08,15,40,DSBQ,0.0,3.0
2020-04-08,4,49,DSSF,0.0,1.0
2020-04-08,2,19,DSPN,0.0,0.0
2020-04-08,1,11,DSBN,0.0,0.0
2020-04-08,3,54,DSPR,0.0,1.0
2020-04-09,3,45,DSBV,0.0,0.0
2020-04-09,3,57,DSPR,0.0,1.0
2020-04-09,1,17,DSCIC,0.0,0.0
2020-04-09,0,1,DSTQ,0.0,0.0
2020-04-09,3,52,DSSF,0.0,1.0
2020-04-09,1,12,DSBN,0.0,0.0
2020-04-09,4,75,DSMZ,0.0,1.0
2020-04-09,1,20,DSPN,0.0,0.0
2020-04-09,2,42,DSBQ,0.0,3.0
2020-04-09,21,353,Curitiba,0.0,6.0
2020-04-09,2,29,DSCJ,0.0,0.0
2020-04-10,3,48,DSBV,0.0,0.0
2020-04-10,9,362,Curitiba,0.0,6.0
2020-04-10,0,20,DSPN,0.0,0.0
2020-04-10,0,17,DSCIC,0.0,0.0
2020-04-10,3,78,DSMZ,0.0,1.0
2020-04-10,2,44,DSBQ,0.0,3.0
2020-04-10,1,58,DSPR,0.0,1.0
2020-04-10,0,1,DSTQ,0.0,0.0
2020-04-10,0,52,DSSF,0.0,1.0
2020-04-10,0,29,DSCJ,0.0,0.0
2020-04-10,0,12,DSBN,0.0,0.0
2020-04-11,0,29,DSCJ,0.0,0.0
2020-04-11,0,17,DSCIC,0.0,0.0
2020-04-11,1,13,DSBN,0.0,0.0
2020-04-11,0,48,DSBV,0.0,0.0
2020-04-11,0,20,DSPN,0.0,0.0
2020-04-11,0,58,DSPR,0.0,1.0
2020-04-11,6,368,Curitiba,0.0,6.0
2020-04-11,3,81,DSMZ,0.0,1.0
2020-04-11,1,53,DSSF,0.0,1.0
2020-04-11,0,1,DSTQ,0.0,0.0
2020-04-11,1,45,DSBQ,0.0,3.0
2020-04-12,0,48,DSBV,0.0,0.0
2020-04-12,0,20,DSPN,0.0,0.0
2020-04-12,3,371,Curitiba,0.0,6.0
2020-04-12,0,13,DSBN,0.0,0.0
2020-04-12,1,18,DSCIC,0.0,0.0
2020-04-12,0,29,DSCJ,0.0,0.0
2020-04-12,1,46,DSBQ,0.0,3.0
2020-04-12,0,81,DSMZ,0.0,1.0
2020-04-12,0,1,DSTQ,0.0,0.0
2020-04-12,0,58,DSPR,0.0,1.0
2020-04-12,1,54,DSSF,0.0,1.0
2020-04-13,0,48,DSBV,0.0,0.0
2020-04-13,0,20,DSPN,0.0,0.0
2020-04-13,1,59,DSPR,0.0,1.0
2020-04-13,2,83,DSMZ,1.0,2.0
2020-04-13,1,55,DSSF,0.0,1.0
2020-04-13,1,14,DSBN,0.0,0.0
2020-04-13,3,21,DSCIC,0.0,0.0
2020-04-13,10,381,Curitiba,1.0,7.0
2020-04-13,1,30,DSCJ,0.0,0.0
2020-04-13,0,1,DSTQ,0.0,0.0
2020-04-13,0,46,DSBQ,0.0,3.0
2020-04-14,0,14,DSBN,0.0,0.0
2020-04-14,0,21,DSCIC,0.0,0.0
2020-04-14,10,391,Curitiba,1.0,8.0
2020-04-14,3,86,DSMZ,1.0,3.0
2020-04-14,1,56,DSSF,0.0,1.0
2020-04-14,2,22,DSPN,0.0,0.0
2020-04-14,1,47,DSBQ,0.0,3.0
2020-04-14,1,60,DSPR,0.0,1.0
2020-04-14,0,1,DSTQ,0.0,0.0
2020-04-14,0,48,DSBV,0.0,0.0
2020-04-14,2,32,DSCJ,0.0,0.0
2020-04-15,1,23,DSPN,0.0,0.0
2020-04-15,1,48,DSBQ,0.0,3.0
2020-04-15,11,402,Curitiba,0.0,8.0
2020-04-15,0,56,DSSF,0.0,1.0
2020-04-15,1,61,DSPR,0.0,1.0
2020-04-15,3,89,DSMZ,0.0,3.0
2020-04-15,0,1,DSTQ,0.0,0.0
2020-04-15,1,33,DSCJ,0.0,0.0
2020-04-15,1,49,DSBV,0.0,0.0
2020-04-15,1,22,DSCIC,0.0,0.0
2020-04-15,2,16,DSBN,0.0,0.0
2020-04-16,2,35,DSCJ,0.0,0.0
2020-04-16,17,419,Curitiba,0.0,8.0
2020-04-16,2,50,DSBQ,0.0,3.0
2020-04-16,0,49,DSBV,0.0,0.0
2020-04-16,1,57,DSSF,0.0,1.0
2020-04-16,0,23,DSPN,0.0,0.0
2020-04-16,5,27,DSCIC,0.0,0.0
2020-04-16,4,65,DSPR,0.0,1.0
2020-04-16,0,1,DSTQ,0.0,0.0
2020-04-16,2,91,DSMZ,0.0,3.0
2020-04-16,1,17,DSBN,0.0,0.0
2020-04-17,0,1,DSTQ,0.0,0.0
2020-04-17,0,23,DSPN,0.0,0.0
2020-04-17,1,18,DSBN,0.0,0.0
2020-04-17,23,442,Curitiba,0.0,8.0
2020-04-17,7,98,DSMZ,0.0,3.0
2020-04-17,0,50,DSBQ,0.0,3.0
2020-04-17,2,29,DSCIC,0.0,0.0
2020-04-17,5,70,DSPR,0.0,1.0
2020-04-17,4,39,DSCJ,0.0,0.0
2020-04-17,1,58,DSSF,0.0,1.0
2020-04-17,3,52,DSBV,0.0,0.0
2020-04-18,0,52,DSBV,1.0,1.0
2020-04-18,1,24,DSPN,0.0,0.0
2020-04-18,5,103,DSMZ,0.0,3.0
2020-04-18,0,39,DSCJ,0.0,0.0
2020-04-18,0,58,DSSF,0.0,1.0
2020-04-18,7,449,Curitiba,1.0,9.0
2020-04-18,1,71,DSPR,0.0,1.0
2020-04-18,0,50,DSBQ,0.0,3.0
2020-04-18,0,1,DSTQ,0.0,0.0
2020-04-18,0,29,DSCIC,0.0,0.0
2020-04-18,0,18,DSBN,0.0,0.0
2020-04-19,6,455,Curitiba,1.0,10.0
2020-04-19,1,59,DSSF,0.0,1.0
2020-04-19,1,72,DSPR,0.0,1.0
2020-04-19,2,105,DSMZ,0.0,3.0
2020-04-19,1,2,DSTQ,0.0,0.0
2020-04-19,0,24,DSPN,1.0,1.0
2020-04-19,0,29,DSCIC,0.0,0.0
2020-04-19,1,53,DSBV,0.0,1.0
2020-04-19,0,18,DSBN,0.0,0.0
2020-04-19,0,39,DSCJ,0.0,0.0
2020-04-19,0,50,DSBQ,0.0,3.0
2020-04-20,0,24,DSPN,0.0,1.0
2020-04-20,1,40,DSCJ,1.0,1.0
2020-04-20,1,19,DSBN,0.0,0.0
2020-04-20,2,52,DSBQ,0.0,3.0
2020-04-20,1,54,DSBV,0.0,1.0
2020-04-20,4,109,DSMZ,1.0,4.0
2020-04-20,2,31,DSCIC,0.0,0.0
2020-04-20,0,2,DSTQ,0.0,0.0
2020-04-20,20,475,Curitiba,3.0,13.0
2020-04-20,6,65,DSSF,0.0,1.0
2020-04-20,3,75,DSPR,1.0,2.0
2020-04-21,5,480,Curitiba,1.0,14.0
2020-04-21,1,53,DSBQ,0.0,3.0
2020-04-21,0,65,DSSF,0.0,1.0
2020-04-21,0,2,DSTQ,0.0,0.0
2020-04-21,1,76,DSPR,0.0,2.0
2020-04-21,0,31,DSCIC,0.0,0.0
2020-04-21,1,110,DSMZ,0.0,4.0
2020-04-21,1,20,DSBN,0.0,0.0
2020-04-21,0,40,DSCJ,1.0,2.0
2020-04-21,1,55,DSBV,0.0,1.0
2020-04-21,0,24,DSPN,0.0,1.0
2020-04-22,2,57,DSBV,0.0,1.0
2020-04-22,4,80,DSPR,0.0,2.0
2020-04-22,2,4,DSTQ,0.0,0.0
2020-04-22,0,40,DSCJ,0.0,2.0
2020-04-22,0,31,DSCIC,0.0,0.0
2020-04-22,7,117,DSMZ,0.0,4.0
2020-04-22,24,504,Curitiba,0.0,14.0
2020-04-22,6,71,DSSF,0.0,1.0
2020-04-22,1,54,DSBQ,0.0,3.0
2020-04-22,2,26,DSPN,0.0,1.0
